,name,rating,id,sentiment,director,scriptwriter,starring,genre,date,total_people,running_time
1624,我最好朋友的婚礼,4.3,26394441,0.7073981856199217,['陈飞宏'],"['李潇', '于淼']","['舒淇', '冯绍峰', '宋茜', '叶青', '凤小岳']",喜剧,2016-08-05(中国大陆),164613,91
1626,诺亚方舟漂流记,7.4,26359269,1.0,"['托比·格恩科尔', '肖恩·麦克科马克']","['里奇·康罗伊', '托比·格恩科尔', '马克·霍德金森', '马丁内·托雷松']","['卡勒姆·马洛尼', '克里斯蒂安·乌蒙', '艾娃·康纳利', '塔拉·弗林', '马丁·辛']",喜剧,2016-08-12(中国大陆),492,86
1627,危城,5.6,26125779,1.0,['陈木胜'],"['陈木胜', '王道', '谭惠贞', '唐耀良', '简怡珏']","['刘青云', '古天乐', '彭于晏', '吴京', '袁泉']",剧情,2016-08-12(中国大陆),492,120
1628,岛囧,2.5,26711085,0.9931910575648404,['王子元'],"['王子元', '应艺娜']","['李渺然', '李天涯', '张洛晨', '刘宇珽', '徐香颖']",剧情,2016-08-12(中国大陆),213,86
1629,精灵王座,7.5,26290390,1.0,['宋岳峰'],['卓然'],"['王梓', '陶典', '季冠霖', '黄莺']",动画,2016-08-19(中国大陆),213,104
1630,七月半2：前世今生,2.7,26647080,0.2744788264278585,['李红建'],"['云漠漠', '贝宝']","['陈美行', '翟子陌', '罗翔', '王良', '赵吉']",剧情,2016-08-19(中国大陆),2676,93
1631,新大头儿子和小头爸爸2一日成才,4.2,26839582,0.999999968450929,"['何澄', '张振益']","['吴楠', '吴垠', '贺崧', '叶琳']","['刘纯燕', '董浩', '鞠萍', '林永健', '林大竣']",喜剧,2016-08-19(中国大陆),2676,85
1632,吉祥宝宝之我是食神,3.1,26840665,0.05186669368886554,"['陈穗华', '康新春', '曾鹏']","['莞草', '俞小真']","['叶方', '江敏', '崔朋', '孙科', '庄宇驰']",动画,2016-08-19(中国大陆),315,90
1633,谍影重重5,7.3,26266072,0.9992726531487143,['保罗·格林格拉斯'],"['保罗·格林格拉斯', '罗伯特·鲁德鲁姆', '克里斯多福·劳斯']","['马特·达蒙', '汤米·李·琼斯', '艾丽西亚·维坎德', '文森特·卡索', '朱丽娅·斯蒂尔斯']",动作,2016-08-23(中国大陆),315,123
1634,天使请吻我,3.6,26296546,1.0,['章国庆'],"['李骏诚', '丁玉环', '李保华']","['李骏诚', '洪乙心', '普超英', '游乐儿', '高川']",剧情,2016-08-23(中国大陆),480764,96
1635,低碳爱情,2.5,26592942,0.08702657273342873,['李昂'],['秦鹏'],"['王泷正', '路晨', '李昊臻', '王君平']",剧情,2016-08-25(中国大陆),480764,96
