,name,rating,id,sentiment,director,scriptwriter,starring,genre,total_people,running_time,year,month,day,a_number,a_comment,a_forward,a_like,b_number,b_comment,b_forward,b_like
1109,拆散专家,4.1,25868330,0.05980267666534422,"['李坚', '裘仲维']","['李坚', '裘仲维', '莎沙']","['黄圣依', '贾一平', '张峻宁', '刘天佐', '林雪']",喜剧,15608,95,2014,11,07,157.0,6805.0,8422.0,3169.0,-107.0,-4874.0,3010.0,-1635.0
1110,求爱大作战,4.3,24706118,0.9824224229819344,['叶念琛'],"['叶念琛', '黄柏高']","['沈震轩', '陈奂仁', '张建声', '连诗雅', '蒋家旻']",剧情,15608,91,2014,11,11,644.0,16272.0,13214.0,107925.0,-283.0,-3845.0,-2461.0,-26610.0
1111,星际穿越,9.1,1889243,1.0,['克里斯托弗·诺兰'],"['乔纳森·诺兰', '克里斯托弗·诺兰']","['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩']",剧情,10954,169,2014,11,12,46.0,458.0,54092.0,203.0,-24.0,28.0,-28158.0,9.0
1112,马达加斯加的企鹅,7.4,11810348,0.9999834291628901,"['埃里克·达尼尔', '西蒙·J·史密斯']","['约翰·阿布德', '迈克尔·科尔顿', '埃里克·达尼尔', '汤姆·麦格拉思', '布兰登·索耶']","['汤姆·麦格拉思', '克里斯·米勒', '克里斯多夫·奈茨', '本尼迪克特·康伯巴奇', '郑肯']",喜剧,10954,92,2014,11,14,29.0,463.0,5039.0,1046.0,-19.0,-166.0,-4867.0,-194.0
1113,天河,4.4,25972494,1.162458386883003e-06,"['宁海强', '沈东']","['柳建伟', '黄宏']","['李幼斌', '俞飞鸿', '段奕宏', '王若心', '赵有亮']",剧情,30660,98,2014,11,15,9.0,1391.0,4041.0,8259.0,0.0,0.0,0.0,0.0
1114,21岁派对,5.9,6873085,0.9999674717069976,"['乔恩·卢卡斯', '斯科特·摩尔']","['乔恩·卢卡斯', '斯科特·摩尔']","['迈尔斯·特勒', '斯盖拉·阿斯丁', '全知泰', '萨拉·赖特', '乔纳森·凯兹']",喜剧,30660,93,2014,11,21,864840.0,87412.0,339202.0,375450.0,-95.0,2.0,0.0,2.0
1115,黄飞鸿之英雄有梦,5.4,25444447,0.9999863396012711,['周显扬'],['杜致朗'],"['彭于晏', '井柏然', '王珞丹', '洪金宝', '杨颖']",剧情,4289,131,2014,11,21,918.0,2394.0,2266.0,36678.0,-1.0,0.0,0.0,0.0
1116,等你追我,3.3,25859605,0.9988764346762176,"['高根荣', '谢亮宏']",['赵江丽'],"['颜丹晨', '顾易浩', '杨大鹏', '邵峰', '耿黎明']",喜剧,4289,90,2014,11,21,869.0,24336.0,28083.0,196880.0,-8.0,0.0,0.0,0.0
1117,火线反攻,5.4,6875610,0.999999999090829,['大卫·巴雷特'],['汤姆·奥康纳'],"['乔什·杜哈明', '布鲁斯·威利斯', '罗莎里奥·道森', '文森特·多诺费奥', '50分']",剧情,3346,95,2014,11,28,813.0,84818.0,135334.0,705653.0,-4.0,-48610.0,-61422.0,-436533.0
1118,爱情狂想曲,3.3,25722123,0.9453301331519448,['丛兿'],['丛兿'],"['李威', '苏小妹', '童苡萱', '付曼', '秦汉擂']",喜剧,3346,96,2014,11,28,24.0,1569.0,6275.0,2536.0,-22.0,-1567.0,-6251.0,-2487.0
